TIME  2013  2014  2015  2016  2017  2018  2019  2020  2021  2022
Irakleio  0  0  0  0  0  0  0  0  0  0
Ireland  0  0  0  0  0  0  0  0  0  0
Irun  0  0  19694  19942  19779  20068  19546  19300  19685  19765
Iserlohn  114800  115200  114440  115310  114463  114054  113699  110372  48000  0
Istanbul  0  0  0  0  0  0  0  0  0  0
Italy  0  0  0  0  0  0  0  0  0  0
Izmir  0  0  0  0  0  0  0  0  0  0
Jastrzebie-Zdroj  0  0  0  0  0  0  0  0  0  0
Jaen  41780  41156  41090  41079  40546  40641  39940  39486  39884  39721
Jelenia_Gora  0  0  0  0  0  0  0  0  0  0
Jelgava  0  0  26100  29200  26600  25000  24300  23800  24500  21900
Jena  50800  50100  48695  50216  0  0  49598  48782  46000  0
Jerez_de_la_Frontera  57429  58352  58142  57903  56055  56062  55841  56006  56383  56039
Jihlava  0  0  0  0  0  0  0  0  0  0
Jyvaskyla  0  0  44924  45423  45458  45622  45798  45923  46490  0
Jonkoping  0  0  0  0  48844  50249  0  0  0  0
Kaiserslautern  73800  73800  73704  74944  74965  74688  75249  73484  79000  0
Kalamata  0  0  0  0  0  0  0  0  0  0
Kalisz  0  0  0  0  0  0  0  0  0  0
Kaposvar  0  0  0  27636  0  0  0  0  0  26737
Karlovy_Vary  0  0  0  0  0  0  0  0  0  0
Karlsruhe  202600  204700  206843  211753  214763  215599  217281  213917  211000  0
Kars  0  0  0  0  0  0  0  0  0  0
Kassel  115900  114700  115388  118362  118227  117591  118946  116065  139000  0
Kastamonu  0  0  0  0  0  0  0  0  0  0
Katowice  0  0  0  0  0  0  0  0  0  0
Kaunas  0  0  98524  99291  96959  104082  103022  107640  108550  111030
Kavala  0  0  0  0  0  0  0  0  0  0
Kayseri  0  0  0  0  0  0  0  0  0  0
Kecskemet  0  0  0  49967  0  0  0  0  0  50992
Kempten_(Allgau)  58000  58500  58998  60158  60986  61408  61999  61497  48000  0
Kiel  163400  163100  163859  164836  165595  166652  169528  167942  132000  0
Kielce  0  0  0  0  0  0  0  0  0  0
Kingston_upon_Hull  0  0  156500  159400  157600  152900  0  0  0  0
Koblenz  86000  86904  87318  88474  88489  88696  89952  88535  92000  0
Kocaeli  0  0  0  0  0  0  0  0  0  0
Konin  0  0  0  0  0  0  0  0  0  0
Konstanz  66900  67800  68859  70944  71562  71847  72508  70986  27000  0
Konya  0  0  0  0  0  0  0  0  0  0
Kortrijk  0  0  41863  42002  42125  42314  43077  0  53168  0
Koszalin  0  0  0  0  0  0  0  0  0  0
Kosice  0  0  0  0  0  0  0  0  0  0
Krakow  0  0  0  0  0  0  0  0  0  0
Krefeld  57900  58100  57993  59106  59190  59480  59478  58416  73000  0
Kuopio  0  0  38478  38497  38326  38582  38726  38808  39438  0
Koln  500900  507200  507973  519064  521223  522519  527600  516446  614000  0
Kobenhavn  0  0  0  0  0  0  0  0  0  0
L_Aquila  0  0  0  0  0  24409  23706  23141  0  0
La_Louviere  0  0  0  0  0  0  0  0  36235  0
La_Rochelle  52364  52597  52765  52781  52857  53388  54140  54870  0  0
La_Spezia  0  0  0  0  0  47236  47109  47473  0  0
Lahti/Lahtis  0  0  45056  45156  44792  44565  43953  44160  44296  0
Landshut  63000  64400  64954  66812  67543  67760  68222  67905  58000  0
Larisa  0  0  0  0  0  0  0  0  0  0
Las_Palmas  177632  177223  178243  174941  172279  172819  174171  167553  168773  175727
Latina  0  0  0  0  0  46678  45622  46598  0  0
Latvia  0  0  499300  491800  488600  489800  0  486300  474100  478300
Lausanne  0  0  0  157457  159280  161603  157620  158885  160241  0
Le_Havre  79807  79421  78876  77884  77248  77539  77216  76884  0  0
Le_Mans  87126  86691  85927  85711  85083  85001  85273  85491  0  0
Lecce  0  0  0  0  0  51657  50396  50764  0  0
Lecco  0  0  0  0  0  35724  35139  33781  0  0
Leeds  0  0  693700  685100  703400  689300  0  0  0  0
Leeuwarden  0  68000  77000  73000  0  0  65750  63767  66000  69000
Lefkosia  0  0  0  0  0  0  0  0  0  0
Legnica  0  0  0  0  0  0  0  0  0  0
Leicester  0  0  228800  231600  242000  240600  0  0  0  0
Leiden  0  44000  96000  99000  0  0  104463  101162  105000  109000
Leipzig  263300  267300  268427  274728  273633  273241  274945  273389  267000  0
Lelystad  0  0  34000  33000  0  0  32302  32692  36000  37000
Lemesos  0  0  0  0  0  0  0  0  0  0
Lens  75133  74764  74821  74606  74121  74092  73958  74032  0  0
Leszno  0  0  0  0  0  0  0  0  0  0
Leon  53043  53315  51811  51499  49381  51450  50469  48749  49082  48568
Liberec  0  0  0  0  0  0  0  0  0  0
Liepaja  0  0  23300  22700  21400  22600  23300  24100  0  26200
Lille  360775  362252  361269  360923  361212  362727  364472  367459  0  0
Limerick  0  0  0  0  0  0  0  0  0  0
Limoges  74351  74199  73746  73288  72453  72271  72144  72537  0  0
Linares  0  0  16088  15865  15293  15427  15064  14874  14851  14563
Lincoln  0  0  87000  79000  80900  81600  0  0  0  0
Linkoping  0  0  0  0  52792  54024  0  0  0  0
Lisboa  0  0  0  0  0  0  0  0  734524  0
Lithuania  0  0  727554  729379  721278  729313  0  0  0  0
Liverpool  0  0  365200  365000  382100  381100  0  0  0  0
Livorno  0  0  0  0  0  44342  44330  43932  0  0
Liege  0  0  163114  162920  165931  164190  164552  0  179718  0
Lleida  52437  52026  51930  51209  50729  50990  51002  50636  51021  51320
Logrono  50554  50756  50149  49722  48846  49329  48786  48722  49110  49390
Lomza  0  0  0  0  0  0  0  0  0  0
London  0  0  3523100  3579500  3617600  3615700  0  0  0  0
Lorca  0  0  30022  29972  30295  30171  30594  30705  31500  31651
Lorient  50971  50790  50616  50487  50603  50544  50791  50865  0  0
Lubin  0  0  0  0  0  0  0  0  0  0
Lublin  0  0  0  0  0  0  0  0  0  0
Lugano  0  0  0  49914  49484  48853  46727  47349  47678  0
Lugo  0  0  29873  29951  29353  29876  28999  28789  28961  29012
Luxembourg  0  0  0  0  0  0  0  0  0  0
Luxembourg_(Grand_Duchy)  0  0  0  0  0  0  0  0  0  0
Luzern  0  0  0  95073  96561  94498  94161  94155  94640  0
Lyon  539864  545189  549739  552769  555031  560497  565972  571595  0  0
Linea_de_la_Concepcion  0  0  0  0  0  0  0  16439  16544  16522
Lodz  0  0  0  0  0  0  0  0  0  0
Lubeck  102500  102000  103361  104038  104675  105480  106997  105941  105000  0
Maastricht  0  48000  49000  48000  0  0  47434  47531  48000  49000
Madrid  1769190  1761196  454913  1788810  1819536  1805455  1821506  1819267  1858061  1880813
Magdeburg  138100  136700  135591  137283  134236  133059  131782  130923  112000  0
Mainz  110100  111500  112754  114695  115283  115575  117725  116892  128000  0
Malatya  0  0  0  0  0  0  0  0  0  0
Malmo  0  0  0  0  153481  156922  0  0  0  0
Malta  0  0  109166  111521  126390  132026  141277  148503  148656  153452
Mamoudzou  0  0  0  0  36455  0  0  0  0  0
Manchester  0  0  873600  859100  878300  892500  0  0  0  0
Manisa  0  0  0  0  0  0  0  0  0  0
Mannheim-Ludwigshafen  0  0  0  0  0  0  332738  327896  378000  0
Manresa  0  0  32230  31886  32423  31996  32580  32105  32336  32247
Marbella  81629  81592  82790  82206  82743  82740  83276  83568  85575  87202
Marburg  65400  64400  64495  66119  65975  66028  66862  64800  55000  0
Marseille  420333  421053  421223  421327  420610  423454  425818  428735  0  0
Massa  0  0  0  0  0  18921  19139  18607  0  0
Matera  0  0  0  0  0  17032  17823  17261  0  0
Mechelen  0  0  0  0  0  0  0  0  29956  0
Melilla  0  0  0  0  0  0  0  20510  20628  20745
Messina  0  0  0  0  0  59121  57902  57530  0  0
Metz  92622  91901  91345  91313  91188  91688  92392  93523  0  0
Middelburg  0  0  31000  29000  0  0  30531  31785  33000  33000
Middlesbrough  0  0  139500  139200  134300  135100  0  0  0  0
Milano  0  0  0  0  0  1302104  1309740  1290691  0  0
Miskolc  0  0  0  71696  0  0  0  0  0  72352
Modena  0  0  0  0  0  99702  100638  99316  0  0
Mons  0  0  41577  40830  41475  40916  40566  0  53352  0
Montbeliard  43863  43444  43073  42700  42217  42002  41970  41771  0  0
Montpellier  173596  176320  178660  180802  182460  185425  188729  192180  0  0
Most  0  0  0  0  0  0  0  0  0  0
Mouscron  0  0  0  0  0  0  0  0  15171  0
Mulhouse  102074  101786  101383  100801  100317  100154  100259  100294  0  0
Murcia  169234  168678  166639  166765  167644  167474  169392  170658  173725  173622
Malaga  222992  226020  227029  226212  223432  227875  224836  221553  225907  227815
Merida  0  0  22875  22800  22436  22990  22596  21828  22295  22370
Monchengladbach  66800  66700  66589  68294  68661  68714  68886  67504  105000  0
Munchen  759900  773600  784137  806375  818331  823260  832467  821420  907000  0
Munster  132000  134600  134571  138123  138487  139511  141235  139030  180000  0
Namur  0  0  48882  48579  50355  50193  50544  0  62547  0
Nancy  123047  123137  123063  121810  121258  120649  120609  120114  0  0
Nantes  235971  238904  242727  245039  248401  252845  256437  261185  0  0
Napoli  0  0  0  0  0  714684  708520  682561  0  0
Narva  0  0  0  0  0  0  0  0  12300  12100
Netherlands  0  4785000  4778000  4776000  0  0  4931341  4935485  5089000  5218000
Neubrandenburg  71700  69000  67813  67646  66168  64043  64207  63717  29000  0
Neumunster  20900  20800  20996  20955  21106  21404  21707  21614  33000  0
Nevsehir  0  0  0  0  0  0  0  0  0  0
Newcastle_upon_Tyne  0  0  303000  310800  298600  294100  0  0  0  0
Newport  0  0  60400  58400  64100  62300  0  0  0  0
Nice  140538  140929  140680  140077  140134  140596  141850  142213  0  0
Nijmegen  0  86000  89000  90000  0  0  92024  94690  100000  97000
Nitra  0  0  0  0  0  0  0  0  0  0
Norge  0  0  0  0  0  0  0  0  0  0
Norrkoping  0  0  0  0  39820  40814  0  0  0  0
Northampton  0  0  127400  129500  129700  132000  0  0  0  0
Norwich  0  0  106600  113200  106700  105000  0  0  0  0
Nottingham  0  0  242900  244800  243000  243500  0  0  0  0
Novara  0  0  0  0  0  41429  41672  40159  0  0
Nowy_Sacz  0  0  0  0  0  0  0  0  0  0
Nyiregyhaza  0  0  0  61099  0  0  0  0  0  61637
Nimes  77581  77883  77896  77742  78047  77967  78096  79008  0  0
