TIME  2013  2014  2015  2016  2017  2018  2019  2020  2021  2022
Logrono  44755  45073  44156  44413  44946  46008  46075  45385  45996  46375
Lomza  0  0  0  0  0  0  0  0  0  0
London  0  0  0  3031000  3103700  3087500  0  0  0  0
Lorca  0  0  22023  22221  23124  22758  23137  23151  24261  24607
Lorient  47589  47823  47657  47792  47995  48178  48440  49172  0  0
Lubin  0  0  0  0  0  0  0  0  0  0
Lublin  0  0  0  0  0  0  0  0  0  0
Lugano  0  0  0  38854  39240  39864  37189  38236  39534  0
Lugo  0  0  28862  29061  28442  29199  28846  28629  28727  28837
Luxembourg  0  0  0  0  0  0  0  0  0  0
Luxembourg_(Grand_Duchy)  0  0  0  0  0  0  0  0  0  0
Luzern  0  0  0  83308  83446  83026  80922  84273  82813  0
Lyon  511490  518302  523802  526768  529619  535982  541114  547193  0  0
Linea_de_la_Concepcion  0  0  0  0  0  0  0  13063  14077  13901
Lodz  0  0  0  0  0  0  0  0  0  0
Lubeck  92300  93300  93969  95606  97317  97428  98234  97574  93000  0
Maastricht  0  42000  42000  42000  0  0  46059  44324  47000  48000
Madrid  1638403  1627571  398068  1677405  1706543  1676545  1734041  1748937  1797631  1797704
Magdeburg  122100  121600  121735  121053  119062  114735  116106  114519  96000  0
Mainz  99400  100800  101325  105180  105043  105494  107313  105708  113000  0
Malatya  0  0  0  0  0  0  0  0  0  0
Malmo  0  0  0  0  149225  152129  0  0  0  0
Malta  0  0  70132  72816  85518  91642  99255  103640  104276  113902
Mamoudzou  0  0  0  0  33932  0  0  0  0  0
Manchester  0  0  749300  767800  770500  773000  0  0  0  0
Manisa  0  0  0  0  0  0  0  0  0  0
Mannheim-Ludwigshafen  0  0  0  0  0  0  280279  275145  319000  0
Manresa  0  0  28511  28642  29135  28579  29649  29186  30104  29742
Marbella  72123  71540  73630  73401  73722  72686  75449  75788  79145  81505
Marburg  57700  56800  57271  57848  58361  58447  59210  57530  47000  0
Marseille  400432  401885  403338  405225  405884  408592  410910  415055  0  0
Massa  0  0  0  0  0  14575  14990  14323  0  0
Matera  0  0  0  0  0  11994  12941  12404  0  0
Mechelen  0  0  0  0  0  0  0  0  27388  0
Melilla  0  0  0  0  0  0  0  17651  17987  18128
Messina  0  0  0  0  0  46044  45184  45322  0  0
Metz  85781  85376  85607  85811  85757  85749  86449  87052  0  0
Middelburg  0  0  29000  26000  0  0  27534  27608  29000  29000
Middlesbrough  0  0  127800  120900  123800  122400  0  0  0  0
Milano  0  0  0  0  0  1041031  1054315  1033454  0  0
Miskolc  0  0  0  63061  0  0  0  0  0  64892
Modena  0  0  0  0  0  79327  80705  79041  0  0
Mons  0  0  36242  36246  36012  36167  36465  0  47389  0
Montbeliard  38146  37900  37773  37461  37162  37152  37109  36954  0  0
Montpellier  169430  172770  175759  178096  180198  183090  186384  189770  0  0
Most  0  0  0  0  0  0  0  0  0  0
Mouscron  0  0  0  0  0  0  0  0  13496  0
Mulhouse  91607  91776  91476  90740  90435  90423  90544  90843  0  0
Murcia  138861  140721  136635  137927  142453  141251  142734  142504  147899  149038
Malaga  194176  195054  197943  197509  193327  194443  197911  194607  202114  205927
Merida  0  0  18028  18207  18056  18726  18784  18693  18794  18917
Monchengladbach  56600  56500  57189  58479  58358  58317  58253  57933  87000  0
Munchen  688900  702300  707198  727651  730695  733897  748137  732174  829000  0
Munster  123000  125700  127591  130707  131674  133036  134400  133761  175000  0
Namur  0  0  44501  44686  45750  46149  46233  0  57616  0
Nancy  116315  116065  115790  114830  114829  114587  114565  114765  0  0
Nantes  223876  228007  232642  236358  240097  243783  247237  250905  0  0
Napoli  0  0  0  0  0  484574  479080  449977  0  0
Narva  0  0  0  0  0  0  0  0  12700  12100
Netherlands  0  4089000  4129000  4154000  0  0  4335518  4372444  4574  4681
Neubrandenburg  63400  62700  61474  61190  59809  57848  58191  59035  28000  0
Neumunster  17000  17100  17126  17430  17759  17774  18083  17955  29000  0
Nevsehir  0  0  0  0  0  0  0  0  0  0
Newcastle_upon_Tyne  0  0  277500  269500  274700  270600  0  0  0  0
Newport  0  0  53100  55800  58800  55500  0  0  0  0
Nice  135806  136202  136436  136442  136609  137240  138510  139961  0  0
Nijmegen  0  80000  85000  84000  0  0  89324  88832  92000  90000
Nitra  0  0  0  0  0  0  0  0  0  0
Norge  0  0  0  0  0  0  0  0  0  0
Norrkoping  0  0  0  0  36373  37111  0  0  0  0
Northampton  0  0  111300  117700  120100  123800  0  0  0  0
Norwich  0  0  94900  101700  100000  102700  0  0  0  0
Nottingham  0  0  213200  216700  204100  207000  0  0  0  0
Novara  0  0  0  0  0  32140  32820  30921  0  0
Nowy_Sacz  0  0  0  0  0  0  0  0  0  0
Nyiregyhaza  0  0  0  52566  0  0  0  0  0  55342
Nimes  73333  73157  72931  73317  73696  73733  73901  74740  0  0
